run_accession	sample_accession	fastq_ftp
SRR8216023	SAMN10450623	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216023/SRR8216023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216023/SRR8216023_2.fastq.gz
SRR8216024	SAMN10450622	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216024/SRR8216024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216024/SRR8216024_2.fastq.gz
SRR8216025	SAMN10450625	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216025/SRR8216025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216025/SRR8216025_2.fastq.gz
SRR8216026	SAMN10450624	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/006/SRR8216026/SRR8216026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/006/SRR8216026/SRR8216026_2.fastq.gz
SRR8216027	SAMN10450635	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/007/SRR8216027/SRR8216027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/007/SRR8216027/SRR8216027_2.fastq.gz
SRR8216028	SAMN10450632	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8216028/SRR8216028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8216028/SRR8216028_2.fastq.gz
SRR8216029	SAMN10450644	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/009/SRR8216029/SRR8216029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/009/SRR8216029/SRR8216029_2.fastq.gz
SRR8216030	SAMN10450643	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/000/SRR8216030/SRR8216030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/000/SRR8216030/SRR8216030_2.fastq.gz
SRR8216031	SAMN10450642	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/001/SRR8216031/SRR8216031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/001/SRR8216031/SRR8216031_2.fastq.gz
SRR8216032	SAMN10450641	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/002/SRR8216032/SRR8216032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/002/SRR8216032/SRR8216032_2.fastq.gz
SRR8216033	SAMN10450640	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216033/SRR8216033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216033/SRR8216033_2.fastq.gz
SRR8216034	SAMN10450633	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216034/SRR8216034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216034/SRR8216034_2.fastq.gz
SRR8216035	SAMN10450638	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216035/SRR8216035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216035/SRR8216035_2.fastq.gz
SRR8216036	SAMN10450606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/006/SRR8216036/SRR8216036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/006/SRR8216036/SRR8216036_2.fastq.gz
SRR8216037	SAMN10450607	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/007/SRR8216037/SRR8216037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/007/SRR8216037/SRR8216037_2.fastq.gz
SRR8216038	SAMN10450598	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8216038/SRR8216038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8216038/SRR8216038_2.fastq.gz
SRR8216039	SAMN10450599	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/009/SRR8216039/SRR8216039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/009/SRR8216039/SRR8216039_2.fastq.gz
SRR8216040	SAMN10450600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/000/SRR8216040/SRR8216040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/000/SRR8216040/SRR8216040_2.fastq.gz
SRR8216041	SAMN10450601	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/001/SRR8216041/SRR8216041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/001/SRR8216041/SRR8216041_2.fastq.gz
SRR8216042	SAMN10450602	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/002/SRR8216042/SRR8216042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/002/SRR8216042/SRR8216042_2.fastq.gz
SRR8216043	SAMN10450603	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216043/SRR8216043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216043/SRR8216043_2.fastq.gz
SRR8216044	SAMN10450604	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216044/SRR8216044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216044/SRR8216044_2.fastq.gz
SRR8216045	SAMN10450605	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216045/SRR8216045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216045/SRR8216045_2.fastq.gz
